accountId,assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
86745912,1,63,0,0,0,2,15797,14964,0
86745912,12,53,0,0,0,2,32205,28815,1
73562326,7,9,0,0,0,2,27798,22863,1
86745912,14,11,0,0,0,2,32408,32039,1
86745912,19,103,0,0,0,2,25034,19590,0
86745912,11,39,0,0,0,2,31532,25779,1
86745912,15,95,0,0,0,2,16538,18081,1
86745912,17,53,0,0,0,2,32323,28399,0
86745912,14,11,0,0,0,2,29297,28582,1
86745912,12,43,0,0,0,2,15774,16091,1
86745912,19,97,0,0,0,2,30346,24538,1
86745912,15,39,0,0,0,2,28161,26204,1
86745912,10,67,0,0,0,2,32414,27254,0
86745912,3,11,0,0,0,2,21502,19489,0
86745912,5,1,0,0,0,2,32375,32685,1
86745912,15,11,0,0,0,2,30918,28946,1
86745912,15,80,0,0,0,1,32146,29212,1
86745912,13,17,0,0,0,2,32391,24452,0
86745912,7,54,0,0,0,2,12676,13697,0
86745912,11,22,0,0,0,2,13138,13949,0
86745912,15,67,0,0,0,1,10299,9608,1
86745912,9,54,0,0,0,2,32372,45283,0
86745912,8,48,0,0,0,2,15320,17487,1
86745912,17,39,0,0,0,2,26428,19057,1
86745912,5,39,0,0,0,2,7456,6249,1
86745912,7,76,0,0,0,2,14268,13113,1
86745912,12,80,0,0,0,2,32072,30310,0
86745912,8,53,0,0,0,2,18034,15608,1
86745912,6,53,0,0,0,2,13896,15403,1
86745912,0,1,0,0,0,2,2009,2134,1
86745912,11,11,0,0,0,2,32955,29786,1
86745912,4,76,0,0,0,2,14725,13411,0
86745912,20,103,0,0,0,2,32414,27901,1
73562326,16,88,0,0,0,1,10533,7294,1
86745912,5,95,0,0,0,1,12429,9690,0
86745912,20,45,0,0,0,1,32405,26982,0
73562326,15,103,0,0,0,2,14570,11431,1
86745912,10,48,0,0,0,2,11201,9186,0
86745912,10,9,0,0,0,2,6775,6946,1
73562326,8,17,0,0,0,2,12460,9765,1
86745912,6,65,0,0,0,2,8210,6924,0
86745912,5,56,0,0,0,2,29852,20699,0
86745912,6,52,0,0,0,2,7467,6919,1
86745912,25,5,0,0,0,2,31361,19336,1
86745912,3,39,0,0,0,2,18934,12120,0
86745912,12,95,0,0,0,2,32715,28707,0
86745912,8,38,0,0,0,2,8467,7343,0
86745912,9,76,0,0,0,2,5809,6868,1
86745912,11,58,0,0,0,2,18331,14043,1
86745912,15,17,0,0,0,2,17376,13464,1
86745912,6,63,0,0,0,2,14021,10309,1
86745912,5,11,0,0,0,2,12317,10188,0
73562326,5,63,0,0,0,2,16356,12425,1
86745912,1,53,0,0,0,2,12753,11489,0
86745912,5,39,0,0,0,2,10334,8962,1
86745912,13,17,0,0,0,2,29541,21525,1
86745912,0,11,0,0,0,2,5868,4847,1
86745912,10,11,0,0,0,2,29662,25291,1
86745912,4,11,0,0,0,2,17232,16801,0
86745912,7,19,0,0,0,2,11810,9303,0
86745912,2,39,0,0,0,2,10012,7940,1
86745912,2,76,0,0,0,2,22542,18264,0
86745912,5,1,0,0,0,2,12542,11065,0
86745912,15,76,0,0,0,1,32777,37129,1
86745912,5,39,0,0,0,2,17470,13328,1
86745912,8,67,0,0,0,2,7719,6812,1
86745912,5,39,0,0,0,2,10566,7866,1
86745912,21,95,0,0,0,2,27251,21865,1
86745912,9,76,0,0,0,1,24185,20166,1
86745912,12,17,0,0,0,1,15781,12523,0
86745912,14,11,0,0,0,2,23229,22119,1
86745912,7,11,0,0,0,2,22240,19149,1
86745912,8,11,0,0,0,2,26151,21030,1
86745912,8,21,0,0,0,2,14819,12564,0
86745912,4,76,0,0,0,2,32437,27860,0
86745912,18,11,0,0,0,2,18531,19331,1
86745912,7,39,0,0,0,2,15972,12855,1
86745912,3,11,0,0,0,2,12117,10706,1
73562326,1,9,0,0,0,2,6416,5588,0
86745912,1,11,0,0,0,2,5636,5318,0
73562326,0,55,0,0,0,2,4099,4099,0
