accountId,assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
159020918,11,101,2,1,4,2,13921,11961,1
134556694,14,75,3,2,3,2,11398,9425,0
132851371,8,109,1,2,145,2,17864,23344,0
106573901,7,45,8,1,44,2,17536,17207,0
92423451,7,78,3,3,9,2,13919,10960,0
159020918,9,86,3,2,6,2,9973,8146,0
134556694,17,50,3,3,14,2,16177,12306,1
132851371,8,10,12,1,139,2,30236,32559,1
106573901,14,114,15,2,134,2,31214,26161,1
92423451,16,97,5,3,14,2,19111,13651,1
159020918,13,19,6,1,13,2,17970,12714,1
134556694,10,75,4,1,0,2,8721,6760,0
132851371,6,109,3,1,110,2,13726,13813,0
106573901,3,17,8,2,53,2,15511,14340,0
92423451,8,96,1,3,23,2,9306,7638,0
159020918,8,63,3,2,13,2,12262,9131,0
87278757,10,5,1,2,10,2,6250,5384,1
73562326,14,40,3,3,9,2,9608,8446,1
89117038,10,33,4,3,41,2,8151,8552,1
121769650,12,63,7,1,12,2,12838,10220,1
116585378,9,12,9,2,28,2,13493,12522,1
134556694,5,84,1,3,9,2,5659,4054,0
132851371,4,61,5,2,65,2,11508,10368,0
106573901,8,41,2,3,24,2,8721,7813,0
92423451,1,78,5,1,9,2,9798,9439,0
159020918,5,110,2,2,2,2,5469,5025,0
134556694,13,3,3,2,2,2,11670,9359,1
132851371,18,72,9,3,163,2,25690,27847,1
106573901,9,19,15,2,55,2,27308,22147,1
92423451,11,120,6,1,15,2,20298,17679,1
159020918,23,91,3,3,30,2,25035,12171,1
87278757,19,78,1,2,19,2,18765,13327,1
73562326,11,36,7,1,88,2,25879,22240,1
121769650,5,109,7,3,229,2,23630,26819,1
89117038,16,5,5,3,66,2,19787,15167,1
116585378,15,74,10,2,24,2,19869,15208,1
134556694,8,66,3,5,38,2,13450,10179,0
132851371,10,48,5,3,236,2,28495,26983,0
106573901,5,17,6,2,99,2,26574,23467,0
92423451,8,2,2,1,64,2,17498,14677,0
159020918,9,110,3,1,13,2,12142,11733,0
134556694,12,85,4,1,14,2,12243,8239,0
132851371,4,10,13,1,69,2,21175,21598,0
106573901,13,74,2,2,31,2,15515,13590,0
92423451,7,96,0,3,33,2,14553,10818,0
159020918,10,112,1,3,10,2,12166,10010,0
134556694,17,50,2,3,18,2,10165,9746,1
132851371,19,109,9,3,122,2,24837,28715,1
106573901,15,17,5,2,128,2,21449,18584,1
92423451,8,2,15,1,67,2,18794,18060,1
159020918,19,110,4,1,43,2,15056,12506,1
134556694,6,111,3,3,8,2,13420,10557,0
132851371,8,10,5,1,29,2,27332,25676,0
106573901,5,74,8,2,84,2,22992,21203,0
92423451,11,96,1,3,24,2,17043,15164,0
159020918,9,19,2,1,47,2,12614,12883,0
134556694,18,2,8,1,43,2,15516,13035,1
132851371,16,70,15,3,34,2,28636,23968,1
106573901,15,59,11,2,26,2,28846,25734,1
92423451,23,33,4,3,69,2,21992,22202,1
159020918,18,101,7,3,16,2,19048,13413,1
87278757,22,83,0,3,2,2,15095,9881,0
