accountId,assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
125581247,10,13,9,2,6,3,19260,16396,0
106863163,13,39,21,2,69,3,27136,26527,1
125581247,1,74,0,0,0,3,7571,7216,0
101695162,0,29,0,0,0,3,4078,3995,0
125581247,6,21,0,0,0,3,20750,16916,0
101695162,16,97,0,0,0,3,20375,16000,1
125581247,14,74,0,0,0,3,30691,26524,1
125581247,6,39,0,0,0,3,16425,15570,0
125581247,16,17,0,0,0,3,36632,30305,1
125581247,10,46,0,0,0,3,17781,18584,1
125581247,5,36,0,0,0,3,14543,15504,0
125581247,10,39,0,0,0,3,31488,27766,0
125581247,14,40,0,0,0,3,16415,14639,0
125581247,10,114,0,0,0,3,20871,16919,0
125581247,8,80,0,0,0,3,24997,30632,0
125581247,2,93,0,0,0,3,10972,9286,0
125581247,12,8,17,1,43,3,28282,24677,1
125581247,15,74,12,2,44,3,30826,26328,1
125581247,5,18,2,1,66,2,12777,11803,0
106863163,4,36,2,2,31,2,10772,10600,0
101695162,4,55,2,3,49,2,9225,8537,0
125581247,5,41,0,3,39,2,10484,9356,0
106863163,1,53,8,2,31,2,10253,11509,0
101695162,2,15,2,1,3,2,8279,8433,0
125581247,14,12,8,1,78,2,38620,42857,0
106863163,5,97,15,2,208,2,46111,34445,0
101695162,15,114,5,3,58,2,29472,22288,0
125581247,9,109,6,1,127,2,19332,20962,1
106863163,9,49,9,2,88,2,19301,19990,1
101695162,13,53,10,3,72,2,14570,17358,1
125581247,7,77,2,1,76,2,15855,14916,0
106863163,7,106,3,2,50,2,14880,13254,0
101695162,8,55,2,3,25,2,12965,13471,0
125581247,18,63,4,1,128,2,28928,22957,1
106863163,7,17,18,2,152,2,36005,31936,1
101695162,16,41,7,3,103,2,24859,22072,1
106863163,8,40,8,2,68,2,34662,31482,0
125581247,8,12,15,3,45,2,30846,25281,0
101695162,14,114,9,1,49,2,23426,19504,0
106863163,4,43,11,2,114,2,31804,26504,0
125581247,7,4,3,1,152,2,27816,26451,0
101695162,7,29,4,3,86,2,23407,20101,0
106863163,5,13,5,2,36,2,17929,15889,0
125581247,1,48,4,3,155,2,17537,19342,0
101695162,6,41,2,1,44,2,13300,11926,0
125581247,16,9,12,3,96,2,28254,24112,1
106863163,10,46,14,2,218,2,34328,31245,1
101695162,14,53,7,1,62,2,25677,25355,1
94738847,18,51,7,3,7,2,14863,13390,0
94738847,8,13,4,3,39,2,15162,14109,0
125581247,12,114,5,3,170,2,33398,27586,1
106863163,6,11,13,2,176,2,27839,28091,1
101695162,13,51,2,1,14,2,17646,12719,1
125581247,9,12,0,0,0,3,23738,19228,1
125581247,5,36,0,0,0,3,32890,26788,0
125581247,23,13,0,0,0,3,36661,32715,1
125581247,17,7,0,0,0,3,23209,17656,0
125581247,5,1,0,0,0,3,9540,8947,0
125581247,10,17,0,0,0,3,20242,17602,0
125581247,8,48,0,0,0,3,21174,21570,1
125581247,13,12,0,0,0,3,21404,17880,1
125581247,25,9,0,0,0,3,36757,30314,1
125581247,0,11,0,0,0,3,11254,10515,0
106863163,10,46,10,2,104,2,26590,21225,1
125581247,13,77,5,3,60,2,12782,14335,1
101695162,13,7,7,1,22,2,15332,12576,1
125581247,16,74,0,0,0,3,25185,21773,1
125581247,0,12,0,0,0,3,8624,8807,0
125581247,1,36,0,0,0,3,8287,10091,1
125581247,9,12,0,0,0,3,33792,32296,1
125581247,2,113,0,0,0,3,12111,12355,0
125581247,2,80,0,0,0,3,21716,36668,0
106863163,10,43,11,2,54,2,22280,18517,1
125581247,17,113,4,1,65,2,17352,16725,1
101695162,11,7,6,3,16,2,12902,11648,1
125581247,8,113,0,0,0,3,34928,33559,0
125581247,7,46,0,0,0,3,21066,19381,1
125581247,8,113,0,0,0,3,34212,44180,0
125581247,3,69,0,0,0,3,13448,13390,0
125581247,8,61,0,0,0,3,36792,27221,1
125581247,20,113,0,0,0,3,27722,30975,1
125581247,14,113,0,0,0,3,28569,32578,1
106863163,8,49,0,0,0,3,15908,17663,0
125581247,3,7,0,0,0,3,23958,15641,0
125581247,6,12,15,1,69,3,29528,27895,1
