accountId,assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
25907144,7,35,17,1,54,22,27953,27077,0
41231571,8,97,8,3,24,22,15552,14953,0
25907144,11,119,11,2,6,22,25004,21442,1
25907144,15,83,8,3,0,22,14009,11575,0
25907144,1,83,0,3,0,22,1059,1416,0
25907144,30,119,9,1,6,22,24852,15850,1
41231571,1,52,2,1,6,22,7539,8788,0
25907144,16,14,9,1,0,22,13407,10036,1
25907144,14,83,1,1,0,22,17597,9266,0
25907144,5,103,2,3,2,22,9992,7316,0
25907144,20,14,9,1,8,22,20625,14124,1
25907144,14,7,5,1,17,22,20216,13859,1
25907144,13,5,7,3,17,22,17029,16068,0
101356886,28,20,3,1,0,22,14385,11673,1
25907144,13,14,12,3,2,22,31293,24046,0
25907144,9,21,4,1,35,22,18753,16321,0
25907144,12,89,4,1,7,22,20647,15485,0
25907144,8,33,2,1,65,22,16605,16568,1
25907144,3,119,0,1,3,22,5975,4564,0
25907144,7,70,11,2,90,22,25872,20608,0
25907144,17,14,7,1,13,22,22383,13209,1
25907144,22,7,11,2,4,22,33801,20110,0
25907144,1,119,3,3,0,22,2341,2519,0
25907144,3,41,0,1,19,2,5047,6019,1
25907144,21,14,13,2,15,22,40159,27949,1
25907144,22,7,1,1,13,22,19332,14415,1
25907144,14,25,6,3,52,22,30557,24567,1
25907144,20,14,11,2,19,22,30152,23063,1
25907144,20,14,17,1,1,22,21263,13650,1
25907144,26,85,8,3,7,22,22827,15956,0
25907144,27,14,16,3,3,22,28886,19932,1
25907144,7,14,1,2,16,22,12014,8558,0
25907144,21,14,9,3,3,22,16268,11592,1
25907144,10,14,6,3,8,22,7669,6947,0
41231571,10,9,9,1,19,22,14193,13670,1
25907144,15,25,5,3,12,22,22384,16024,0
25907144,21,33,6,1,69,22,21778,18275,1
25907144,15,33,5,3,49,22,25836,21325,1
25907144,29,14,11,2,11,22,26844,19084,1
25907144,16,5,5,3,1,2,10301,9006,1
25907144,26,33,5,3,54,22,27705,20260,1
25907144,11,14,12,1,10,22,20323,14945,1
25907144,18,25,10,1,15,2,13388,13363,1
25907144,8,25,8,3,7,22,12702,13330,1
111620041,20,46,13,2,181,2,55468,61204,1
86745912,20,12,10,3,121,2,47521,55632,1
94155156,28,30,4,3,10,2,28103,24989,1
41231571,25,99,8,1,110,2,43506,51454,1
25907144,22,101,9,1,1,2,38017,23924,1
111620041,3,46,7,2,57,2,10998,10461,1
86745912,3,10,6,1,5,2,7260,9031,1
94155156,10,110,2,1,5,2,6277,6044,1
41231571,12,78,2,3,4,2,9406,9263,1
25907144,6,66,3,1,18,2,4917,6402,1
111620041,12,73,13,2,128,2,28638,37559,1
86745912,8,56,11,1,46,2,20992,21027,1
94155156,16,37,2,3,2,2,14124,10230,1
41231571,18,97,4,3,10,2,17947,14337,1
25907144,18,103,2,1,0,2,14230,11434,1
25907144,19,25,12,3,29,22,28181,23614,1
111620041,4,13,5,2,11,2,9564,10309,1
86745912,5,4,1,1,5,2,8327,8873,1
94155156,7,37,2,1,0,2,4145,4254,1
41231571,3,9,9,3,10,2,7746,9237,1
25907144,9,103,2,3,1,2,6273,5636,1
25907144,14,25,5,1,21,22,10929,9901,1
25907144,6,17,10,2,41,22,21009,16976,1
25907144,18,119,16,3,5,22,40867,31363,0
25907144,12,9,13,1,26,22,13416,15177,1
41231571,13,69,4,3,21,22,13338,14374,1
111620041,14,72,8,2,23,2,13031,12787,1
86745912,11,12,8,1,7,2,11100,12232,1
94155156,15,30,3,1,0,2,8436,6926,1
41231571,12,9,18,3,16,2,12099,15051,1
25907144,30,89,3,3,0,2,10611,7614,1
111620041,7,17,10,2,74,2,16466,15258,1
86745912,14,4,6,3,10,2,12053,12719,1
94155156,19,110,2,3,0,2,9219,7518,1
41231571,11,102,1,1,1,2,10673,10574,1
25907144,11,101,11,1,1,2,10919,8775,1
111620041,17,17,10,2,91,2,25329,22176,1
86745912,14,12,7,1,76,2,21448,21586,1
94155156,20,110,4,1,0,2,17844,12681,1
41231571,21,97,3,3,4,2,19646,14102,1
25907144,12,101,10,3,1,2,14414,11330,1
111620041,8,34,7,1,114,2,26001,28226,0
86745912,7,54,8,3,57,2,28473,27929,0
94155156,9,85,0,3,6,2,14187,10875,0
41231571,9,97,2,2,23,2,18092,16708,0
25907144,9,21,1,1,17,2,14830,12654,0
25907144,10,25,1,1,0,22,6939,5911,0
111620041,7,39,8,2,115,2,30402,28820,0
86745912,6,56,12,1,142,2,32913,27782,0
94155156,8,64,1,3,1,2,20195,16047,0
41231571,8,120,2,3,18,2,28274,22706,0
25907144,15,89,1,1,0,2,19759,15283,0
111620041,4,56,3,2,28,2,7129,7275,1
86745912,4,4,6,1,3,2,7871,8031,1
94155156,10,110,2,1,0,2,4757,4161,1
41231571,4,120,6,3,2,2,6154,7405,1
25907144,6,101,7,3,0,2,4437,4888,1
111620041,3,21,8,2,33,2,17741,17591,0
86745912,6,44,7,1,78,2,20803,18712,0
94155156,8,50,1,1,0,2,8665,8067,0
41231571,6,97,0,3,3,2,13595,11130,0
25907144,8,119,3,3,4,2,15687,9972,0
73562326,25,28,3,1,3,2,16658,11279,1
25907144,21,89,5,1,2,22,29626,26734,0
25907144,14,66,7,1,49,22,28200,18236,0
25907144,12,91,2,3,8,22,21473,11517,0
25907144,25,91,11,3,28,22,22061,14234,1
41231571,6,97,2,1,5,22,16762,13576,0
25907144,17,20,1,3,22,22,15112,12483,1
25907144,14,119,9,3,23,22,21358,14710,1
25907144,2,119,12,2,1,22,18767,14905,0
25907144,25,63,10,3,73,22,37386,30249,1
25907144,12,101,10,3,14,22,29336,18208,0
25907144,6,119,6,1,0,22,8217,6673,0
25907144,31,119,17,1,1,22,27146,18124,1
25907144,5,119,10,1,0,22,19641,13671,0
25907144,10,119,11,2,3,22,25875,20840,1
25907144,18,119,8,1,23,22,16790,12609,0
25907144,16,119,7,3,4,22,10733,10420,1
25907144,13,119,15,3,0,22,14441,12247,1
25907144,7,52,7,1,45,22,22691,17413,0
25907144,20,119,7,1,8,22,21063,15354,1
25907144,4,119,14,1,4,22,10520,9489,0
25907144,12,53,1,1,56,22,14061,12491,0
25907144,4,114,0,0,0,22,12606,11196,0
25907144,5,53,5,3,64,22,15757,16218,0
25907144,6,9,11,2,53,22,20026,20200,1
25907144,9,53,7,2,170,22,24379,27655,0
25907144,11,53,12,1,44,22,19646,16970,1
25907144,0,82,0,1,40,22,2216,3272,0
25907144,13,21,0,0,0,22,29083,19537,0
25907144,17,4,25,2,136,22,36834,41432,1
25907144,15,73,9,2,134,22,27402,29933,1
25907144,11,22,6,1,3,22,12878,10685,1
111620041,6,39,9,2,59,2,21537,19203,1
86745912,10,92,5,1,81,2,14757,15009,1
94155156,8,50,0,1,3,2,10027,7914,1
41231571,8,2,3,3,34,2,14190,11793,1
25907144,8,53,4,3,34,2,10311,13117,1
111620041,11,73,3,2,199,2,18050,28699,1
86745912,5,54,9,3,26,2,17448,17929,1
94155156,9,50,5,2,6,2,10559,9145,1
41231571,10,4,1,1,11,2,10980,11913,1
25907144,14,21,4,1,8,2,12213,11672,1
111620041,3,39,10,2,0,2,10934,11249,1
86745912,7,10,6,1,3,2,9266,9303,1
94155156,10,86,2,3,0,2,6134,5560,1
41231571,8,57,6,3,6,2,6004,7524,1
25907144,13,66,1,1,28,2,5393,5838,1
111620041,7,52,16,2,47,2,11440,14136,1
86745912,10,70,22,3,11,2,8416,12788,1
94155156,20,3,4,1,0,2,7559,6740,1
41231571,24,51,5,1,0,2,7669,8762,1
25907144,29,91,2,3,10,2,8397,6430,1
111620041,8,46,4,2,3,2,5926,7627,1
86745912,5,114,13,3,1,2,5509,8687,1
94155156,10,27,1,1,4,2,3748,5355,1
41231571,9,102,4,1,0,2,4914,7865,1
25907144,10,66,5,3,20,2,3272,5854,1
25907144,16,66,4,3,64,22,22496,18046,1
111620041,12,39,16,2,29,2,18537,16199,1
86745912,8,59,22,1,5,2,18564,18926,1
94155156,20,111,6,1,3,2,9073,8210,1
41231571,18,9,9,3,19,2,14389,13749,1
25907144,24,89,2,3,0,2,12107,9324,1
111620041,9,114,9,2,37,2,18185,18359,1
86745912,10,4,9,1,12,2,16645,17604,1
94155156,15,110,3,3,0,2,12869,9993,1
41231571,10,97,2,3,14,2,14176,11910,1
25907144,11,101,7,1,1,2,10632,8744,1
25907144,16,119,11,2,3,22,21596,16530,1
25907144,11,4,8,2,135,22,31598,28341,1
25907144,6,119,8,2,9,22,18278,12921,0
111620041,5,39,15,2,24,22,21557,21285,1
25907144,20,66,3,3,56,22,16853,10462,1
111620041,7,52,15,2,116,2,21036,19544,1
86745912,15,114,17,3,0,2,15995,15995,1
94155156,19,64,4,3,0,2,14118,9643,1
41231571,18,55,8,1,28,2,15198,15198,1
25907144,19,89,1,1,7,2,10646,8795,1
25907144,16,120,14,3,18,22,36525,30533,0
25907144,5,107,2,1,0,22,5388,4759,0
25907144,11,42,5,3,59,22,19578,16775,0
41231571,26,97,12,1,31,22,31500,22255,1
111620041,4,39,20,2,0,2,11702,13466,1
86745912,8,77,7,3,38,2,13030,13864,1
94155156,13,27,3,1,0,2,7909,7548,1
41231571,20,102,5,1,2,2,13295,10924,1
25907144,13,66,9,3,30,2,7359,9047,1
41231571,27,97,5,1,13,22,30127,21958,0
25907144,16,21,13,1,34,22,28514,21541,0
25907144,9,119,21,2,8,22,22488,19190,1
25907144,7,53,3,3,23,22,11865,15528,0
25907144,28,66,11,3,101,22,28269,17829,1
25907144,1,66,1,1,9,22,1846,1877,0
25907144,19,63,23,1,117,22,32550,31015,1
111620041,5,52,10,2,106,2,18178,17563,1
86745912,11,4,7,3,45,2,17031,17479,1
94155156,9,3,1,1,6,2,8529,7103,1
41231571,15,108,2,1,1,2,15213,11773,1
25907144,12,53,0,3,25,2,10403,11186,1
25907144,11,63,0,0,0,22,21100,21004,1
25907144,24,66,8,3,97,22,24689,18004,1
25907144,7,66,7,1,75,22,21322,12293,0
25907144,10,21,12,3,3,22,12436,10934,1
25907144,15,66,6,1,78,22,21699,14747,0
25907144,13,66,5,3,48,22,16125,12487,1
25907144,22,66,7,1,46,22,20534,12392,1
25907144,15,66,4,3,47,22,13806,13340,1
25907144,6,21,3,1,3,22,6199,6756,0
25907144,31,89,1,3,1,22,18812,11481,0
25907144,31,89,8,1,3,22,18937,16963,1
25907144,7,66,5,1,39,22,13759,8391,0
25907144,3,66,1,1,21,22,2602,3105,0
25907144,8,66,0,0,0,3,7333,5932,0
25907144,11,9,10,2,43,22,12816,12284,0
25907144,18,66,4,3,101,3,27391,19322,1
25907144,12,66,4,2,55,3,9945,7820,0
111620041,11,21,17,2,29,3,18756,17651,1
25907144,5,53,5,3,49,3,18504,17681,1
25907144,10,21,22,3,10,3,17405,15612,1
25907144,14,66,5,1,60,3,15034,13155,0
25907144,12,53,6,3,57,3,10296,14071,1
25907144,9,52,6,2,27,3,12317,11764,0
25907144,13,66,10,1,72,3,28479,23213,0
25907144,6,66,5,1,55,3,6534,7735,1
25907144,6,78,3,1,26,3,11469,11262,0
25907144,8,52,2,3,6,3,14946,11600,0
25907144,27,22,12,1,4,3,19127,13789,1
41231571,13,97,3,3,17,3,18265,13657,1
25907144,12,119,9,3,5,3,19459,13790,1
